action_executed,amount,attempt_count,attempts_after,attempts_before,customer_id,customer_type,days_since_last_payment,decision_factors,decision_reason,failure_reason,payment_method,previous_success_rate,recommended_action,recovered_amount,recovery_probability,recovery_score,recovery_status,risk_level,status,stopping_rule,timestamp,transaction_id
True,4202.42,2,3,2,CUST305,RETURNING,25,"[{'factor': 'Recovery Score', 'value': '67.2/100', 'impact': 'MEDIUM'}, {'factor': 'Previous Success Rate', 'value': '68%', 'impact': 'POSITIVE'}, {'factor': 'Previous Attempts', 'value': '2', 'impact': 'CAUTION'}, {'factor': 'Customer Type', 'value': 'RETURNING', 'impact': 'POSITIVE'}, {'factor': 'Transaction Amount', 'value': '₹4,202.42', 'impact': 'HIGH PRIORITY'}, {'factor': 'Failure Reason', 'value': 'NETWORK ERROR', 'impact': 'DECISION INPUT'}, {'factor': 'Attempt Safety', 'value': '2 attempts used', 'impact': 'CAUTION'}, {'factor': 'Recommended Action', 'value': 'RETRY', 'impact': 'RULE ENGINE DECISION'}]","MEDIUM recovery potential driven by moderate historical payment success rate (68%). two previous recovery attempts have been made. The network error is considered recoverable through another controlled payment attempt. the customer is a returning customer. the transaction value is ₹4,202.42, which receives a higher recovery priority. Revora recommends a controlled retry.",NETWORK_ERROR,DEBIT_CARD,0.68,RETRY,4202.42,0.7,67.2,RECOVERED,MEDIUM,FAILED,Recovery succeeded; further attempts stopped.,25-02-2026 05:26,TX10018
True,20868.6,3,3,3,CUST752,RETURNING,49,"[{'factor': 'Recovery Score', 'value': '58.4/100', 'impact': 'MEDIUM'}, {'factor': 'Previous Success Rate', 'value': '96%', 'impact': 'POSITIVE'}, {'factor': 'Previous Attempts', 'value': '3', 'impact': 'CAUTION'}, {'factor': 'Customer Type', 'value': 'RETURNING', 'impact': 'POSITIVE'}, {'factor': 'Transaction Amount', 'value': '₹20,868.60', 'impact': 'LOWER PRIORITY'}, {'factor': 'Failure Reason', 'value': 'UNKNOWN', 'impact': 'DECISION INPUT'}, {'factor': 'Safety Limit', 'value': '3 attempts reached', 'impact': 'ESCALATE'}, {'factor': 'Recommended Action', 'value': 'ESCALATE', 'impact': 'RULE ENGINE DECISION'}, {'factor': 'Manual Review', 'value': 'Required', 'impact': 'ESCALATION'}]","MEDIUM recovery potential, but 3 previous recovery attempts have already been made. Revora's safety policy prevents further automated recovery attempts. The unknown failure requires manual investigation. the customer is a returning customer. the transaction value is ₹20,868.60, which receives a lower recovery priority. Revora recommends escalation for manual review.",UNKNOWN,NET_BANKING,0.96,ESCALATE,0,0.0,58.4,ESCALATED,MEDIUM,ABANDONED,Automated recovery stopped. Transaction escalated for manual review.,29-05-2026 14:38,TX10001
False,8874.55,3,3,3,CUST933,RETURNING,49,"[{'factor': 'Recovery Score', 'value': '51.4/100', 'impact': 'MEDIUM'}, {'factor': 'Previous Success Rate', 'value': '66%', 'impact': 'POSITIVE'}, {'factor': 'Previous Attempts', 'value': '3', 'impact': 'CAUTION'}, {'factor': 'Customer Type', 'value': 'RETURNING', 'impact': 'POSITIVE'}, {'factor': 'Transaction Amount', 'value': '₹8,874.55', 'impact': 'MEDIUM PRIORITY'}, {'factor': 'Failure Reason', 'value': 'NONE', 'impact': 'DECISION INPUT'}, {'factor': 'Recommended Action', 'value': 'STOP', 'impact': 'RULE ENGINE DECISION'}]",Payment already succeeded. Revora stops the recovery workflow because no further action is required.,NONE,WALLET,0.66,STOP,0,0.0,51.4,STOPPED,MEDIUM,SUCCESS,Payment already succeeded.,08-04-2026 01:28,TX10002
False,26089.83,3,3,3,CUST705,NEW,21,"[{'factor': 'Recovery Score', 'value': '32.2/100', 'impact': 'LOW'}, {'factor': 'Previous Success Rate', 'value': '43%', 'impact': 'NEGATIVE'}, {'factor': 'Previous Attempts', 'value': '3', 'impact': 'CAUTION'}, {'factor': 'Customer Type', 'value': 'NEW', 'impact': 'NEUTRAL'}, {'factor': 'Transaction Amount', 'value': '₹26,089.83', 'impact': 'LOWER PRIORITY'}, {'factor': 'Failure Reason', 'value': 'NONE', 'impact': 'DECISION INPUT'}, {'factor': 'Safety Limit', 'value': '3 attempts reached', 'impact': 'ESCALATE'}, {'factor': 'Recommended Action', 'value': 'STOP', 'impact': 'RULE ENGINE DECISION'}]",Payment already succeeded. Revora stops the recovery workflow because no further action is required.,NONE,CREDIT_CARD,0.43,STOP,0,0.0,32.2,STOPPED,LOW,SUCCESS,Payment already succeeded.,24-06-2026 23:27,TX10003
False,8685.36,1,1,1,CUST133,NEW,22,"[{'factor': 'Recovery Score', 'value': '72.8/100', 'impact': 'HIGH'}, {'factor': 'Previous Success Rate', 'value': '82%', 'impact': 'POSITIVE'}, {'factor': 'Previous Attempts', 'value': '1', 'impact': 'POSITIVE'}, {'factor': 'Customer Type', 'value': 'NEW', 'impact': 'NEUTRAL'}, {'factor': 'Transaction Amount', 'value': '₹8,685.36', 'impact': 'MEDIUM PRIORITY'}, {'factor': 'Failure Reason', 'value': 'NONE', 'impact': 'DECISION INPUT'}, {'factor': 'Recommended Action', 'value': 'STOP', 'impact': 'RULE ENGINE DECISION'}]",Payment already succeeded. Revora stops the recovery workflow because no further action is required.,NONE,DEBIT_CARD,0.82,STOP,0,0.0,72.8,STOPPED,HIGH,SUCCESS,Payment already succeeded.,08-08-2026 22:37,TX10004
True,6924.38,3,3,3,CUST761,NEW,23,"[{'factor': 'Recovery Score', 'value': '39.6/100', 'impact': 'LOW'}, {'factor': 'Previous Success Rate', 'value': '49%', 'impact': 'NEGATIVE'}, {'factor': 'Previous Attempts', 'value': '3', 'impact': 'CAUTION'}, {'factor': 'Customer Type', 'value': 'NEW', 'impact': 'NEUTRAL'}, {'factor': 'Transaction Amount', 'value': '₹6,924.38', 'impact': 'MEDIUM PRIORITY'}, {'factor': 'Failure Reason', 'value': 'LIMIT EXCEEDED', 'impact': 'DECISION INPUT'}, {'factor': 'Safety Limit', 'value': '3 attempts reached', 'impact': 'ESCALATE'}, {'factor': 'Recommended Action', 'value': 'ESCALATE', 'impact': 'RULE ENGINE DECISION'}, {'factor': 'Manual Review', 'value': 'Required', 'impact': 'ESCALATION'}]","LOW recovery potential, but 3 previous recovery attempts have already been made. Revora's safety policy prevents further automated recovery attempts. The limit exceeded failure requires manual investigation. the customer is classified as a new customer. the transaction value is ₹6,924.38, which receives a moderate recovery priority. Revora recommends escalation for manual review.",LIMIT_EXCEEDED,CREDIT_CARD,0.49,ESCALATE,0,0.0,39.6,ESCALATED,LOW,FAILED,Automated recovery stopped. Transaction escalated for manual review.,28-02-2026 16:33,TX10027
True,4493.39,2,3,2,CUST355,NEW,47,"[{'factor': 'Recovery Score', 'value': '74.2/100', 'impact': 'HIGH'}, {'factor': 'Previous Success Rate', 'value': '98%', 'impact': 'POSITIVE'}, {'factor': 'Previous Attempts', 'value': '2', 'impact': 'CAUTION'}, {'factor': 'Customer Type', 'value': 'NEW', 'impact': 'NEUTRAL'}, {'factor': 'Transaction Amount', 'value': '₹4,493.39', 'impact': 'HIGH PRIORITY'}, {'factor': 'Failure Reason', 'value': 'INSUFFICIENT FUNDS', 'impact': 'DECISION INPUT'}, {'factor': 'Recommended Action', 'value': 'RETRY', 'impact': 'RULE ENGINE DECISION'}]","HIGH recovery potential driven by strong historical payment success rate (98%). two previous recovery attempts have been made. The insufficient-funds failure may be recoverable through another payment attempt. the customer is classified as a new customer. the transaction value is ₹4,493.39, which receives a higher recovery priority. Revora recommends a controlled retry.",INSUFFICIENT_FUNDS,CREDIT_CARD,0.98,RETRY,4493.39,0.9,74.2,RECOVERED,HIGH,FAILED,Recovery succeeded; further attempts stopped.,01-04-2026 22:38,TX10021
True,38753.94,3,3,3,CUST275,NEW,58,"[{'factor': 'Recovery Score', 'value': '37.8/100', 'impact': 'LOW'}, {'factor': 'Previous Success Rate', 'value': '57%', 'impact': 'POSITIVE'}, {'factor': 'Previous Attempts', 'value': '3', 'impact': 'CAUTION'}, {'factor': 'Customer Type', 'value': 'NEW', 'impact': 'NEUTRAL'}, {'factor': 'Transaction Amount', 'value': '₹38,753.94', 'impact': 'LOWER PRIORITY'}, {'factor': 'Failure Reason', 'value': 'UNKNOWN', 'impact': 'DECISION INPUT'}, {'factor': 'Safety Limit', 'value': '3 attempts reached', 'impact': 'ESCALATE'}, {'factor': 'Recommended Action', 'value': 'ESCALATE', 'impact': 'RULE ENGINE DECISION'}, {'factor': 'Manual Review', 'value': 'Required', 'impact': 'ESCALATION'}]","LOW recovery potential, but 3 previous recovery attempts have already been made. Revora's safety policy prevents further automated recovery attempts. The unknown failure requires manual investigation. the customer is classified as a new customer. the transaction value is ₹38,753.94, which receives a lower recovery priority. Revora recommends escalation for manual review.",UNKNOWN,UPI,0.57,ESCALATE,0,0.0,37.8,ESCALATED,LOW,FAILED,Automated recovery stopped. Transaction escalated for manual review.,23-05-2026 02:42,TX10024
True,555.21,3,3,3,CUST960,NEW,11,"[{'factor': 'Recovery Score', 'value': '58.6/100', 'impact': 'MEDIUM'}, {'factor': 'Previous Success Rate', 'value': '84%', 'impact': 'POSITIVE'}, {'factor': 'Previous Attempts', 'value': '3', 'impact': 'CAUTION'}, {'factor': 'Customer Type', 'value': 'NEW', 'impact': 'NEUTRAL'}, {'factor': 'Transaction Amount', 'value': '₹555.21', 'impact': 'HIGH PRIORITY'}, {'factor': 'Failure Reason', 'value': 'UNKNOWN', 'impact': 'DECISION INPUT'}, {'factor': 'Safety Limit', 'value': '3 attempts reached', 'impact': 'ESCALATE'}, {'factor': 'Recommended Action', 'value': 'ESCALATE', 'impact': 'RULE ENGINE DECISION'}, {'factor': 'Manual Review', 'value': 'Required', 'impact': 'ESCALATION'}]","MEDIUM recovery potential, but 3 previous recovery attempts have already been made. Revora's safety policy prevents further automated recovery attempts. The unknown failure requires manual investigation. the customer is classified as a new customer. the transaction value is ₹555.21, which receives a higher recovery priority. Revora recommends escalation for manual review.",UNKNOWN,UPI,0.84,ESCALATE,0,0.0,58.6,ESCALATED,MEDIUM,FAILED,Automated recovery stopped. Transaction escalated for manual review.,05-07-2026 19:41,TX10046
True,5973.94,3,3,3,CUST531,NEW,17,"[{'factor': 'Recovery Score', 'value': '36.8/100', 'impact': 'LOW'}, {'factor': 'Previous Success Rate', 'value': '42%', 'impact': 'NEGATIVE'}, {'factor': 'Previous Attempts', 'value': '3', 'impact': 'CAUTION'}, {'factor': 'Customer Type', 'value': 'NEW', 'impact': 'NEUTRAL'}, {'factor': 'Transaction Amount', 'value': '₹5,973.94', 'impact': 'MEDIUM PRIORITY'}, {'factor': 'Failure Reason', 'value': 'UNKNOWN', 'impact': 'DECISION INPUT'}, {'factor': 'Safety Limit', 'value': '3 attempts reached', 'impact': 'ESCALATE'}, {'factor': 'Recommended Action', 'value': 'ESCALATE', 'impact': 'RULE ENGINE DECISION'}, {'factor': 'Manual Review', 'value': 'Required', 'impact': 'ESCALATION'}]","LOW recovery potential, but 3 previous recovery attempts have already been made. Revora's safety policy prevents further automated recovery attempts. The unknown failure requires manual investigation. the customer is classified as a new customer. the transaction value is ₹5,973.94, which receives a moderate recovery priority. Revora recommends escalation for manual review.",UNKNOWN,UPI,0.42,ESCALATE,0,0.0,36.8,ESCALATED,LOW,ABANDONED,Automated recovery stopped. Transaction escalated for manual review.,15-05-2026 01:24,TX10036
True,4738.29,3,3,3,CUST152,RETURNING,41,"[{'factor': 'Recovery Score', 'value': '57.6/100', 'impact': 'MEDIUM'}, {'factor': 'Previous Success Rate', 'value': '69%', 'impact': 'POSITIVE'}, {'factor': 'Previous Attempts', 'value': '3', 'impact': 'CAUTION'}, {'factor': 'Customer Type', 'value': 'RETURNING', 'impact': 'POSITIVE'}, {'factor': 'Transaction Amount', 'value': '₹4,738.29', 'impact': 'HIGH PRIORITY'}, {'factor': 'Failure Reason', 'value': 'UNKNOWN', 'impact': 'DECISION INPUT'}, {'factor': 'Safety Limit', 'value': '3 attempts reached', 'impact': 'ESCALATE'}, {'factor': 'Recommended Action', 'value': 'ESCALATE', 'impact': 'RULE ENGINE DECISION'}, {'factor': 'Manual Review', 'value': 'Required', 'impact': 'ESCALATION'}]","MEDIUM recovery potential, but 3 previous recovery attempts have already been made. Revora's safety policy prevents further automated recovery attempts. The unknown failure requires manual investigation. the customer is a returning customer. the transaction value is ₹4,738.29, which receives a higher recovery priority. Revora recommends escalation for manual review.",UNKNOWN,UPI,0.69,ESCALATE,0,0.0,57.6,ESCALATED,MEDIUM,FAILED,Automated recovery stopped. Transaction escalated for manual review.,03-01-2026 10:39,TX10098
True,49748.67,1,2,1,CUST904,RETURNING,27,"[{'factor': 'Recovery Score', 'value': '57.6/100', 'impact': 'MEDIUM'}, {'factor': 'Previous Success Rate', 'value': '44%', 'impact': 'NEGATIVE'}, {'factor': 'Previous Attempts', 'value': '1', 'impact': 'POSITIVE'}, {'factor': 'Customer Type', 'value': 'RETURNING', 'impact': 'POSITIVE'}, {'factor': 'Transaction Amount', 'value': '₹49,748.67', 'impact': 'LOWER PRIORITY'}, {'factor': 'Failure Reason', 'value': 'NETWORK ERROR', 'impact': 'DECISION INPUT'}, {'factor': 'Recommended Action', 'value': 'RETRY', 'impact': 'RULE ENGINE DECISION'}]","MEDIUM recovery potential driven by low historical payment success rate (44%). one previous recovery attempt has been made. The network error is considered recoverable through another controlled payment attempt. the customer is a returning customer. the transaction value is ₹49,748.67, which receives a lower recovery priority. Revora recommends a controlled retry.",NETWORK_ERROR,UPI,0.44,RETRY,49748.67,0.7,57.6,RECOVERED,MEDIUM,FAILED,Recovery succeeded; further attempts stopped.,08-02-2026 18:22,TX10028
True,14739.21,2,2,2,CUST977,NEW,29,"[{'factor': 'Recovery Score', 'value': '56.0/100', 'impact': 'MEDIUM'}, {'factor': 'Previous Success Rate', 'value': '65%', 'impact': 'POSITIVE'}, {'factor': 'Previous Attempts', 'value': '2', 'impact': 'CAUTION'}, {'factor': 'Customer Type', 'value': 'NEW', 'impact': 'NEUTRAL'}, {'factor': 'Transaction Amount', 'value': '₹14,739.21', 'impact': 'MEDIUM PRIORITY'}, {'factor': 'Failure Reason', 'value': 'UNKNOWN', 'impact': 'DECISION INPUT'}, {'factor': 'Attempt Safety', 'value': '2 attempts used', 'impact': 'CAUTION'}, {'factor': 'Recommended Action', 'value': 'ESCALATE', 'impact': 'RULE ENGINE DECISION'}, {'factor': 'Manual Review', 'value': 'Required', 'impact': 'ESCALATION'}]","MEDIUM recovery potential based on moderate historical payment success rate (65%). The failure reason is unknown and cannot be safely handled by an automated recovery rule. two previous recovery attempts have been made. the customer is classified as a new customer. the transaction value is ₹14,739.21, which receives a moderate recovery priority. Revora escalates the transaction for manual investigation before further recovery.",UNKNOWN,CREDIT_CARD,0.65,ESCALATE,0,0.0,56.0,ESCALATED,MEDIUM,ABANDONED,Automated recovery stopped. Transaction escalated for manual review.,20-02-2026 02:36,TX10008
True,12637.5,1,1,1,CUST740,NEW,35,"[{'factor': 'Recovery Score', 'value': '68.4/100', 'impact': 'MEDIUM'}, {'factor': 'Previous Success Rate', 'value': '71%', 'impact': 'POSITIVE'}, {'factor': 'Previous Attempts', 'value': '1', 'impact': 'POSITIVE'}, {'factor': 'Customer Type', 'value': 'NEW', 'impact': 'NEUTRAL'}, {'factor': 'Transaction Amount', 'value': '₹12,637.50', 'impact': 'MEDIUM PRIORITY'}, {'factor': 'Failure Reason', 'value': 'UNKNOWN', 'impact': 'DECISION INPUT'}, {'factor': 'Recommended Action', 'value': 'ESCALATE', 'impact': 'RULE ENGINE DECISION'}, {'factor': 'Manual Review', 'value': 'Required', 'impact': 'ESCALATION'}]","MEDIUM recovery potential based on moderate historical payment success rate (71%). The failure reason is unknown and cannot be safely handled by an automated recovery rule. one previous recovery attempt has been made. the customer is classified as a new customer. the transaction value is ₹12,637.50, which receives a moderate recovery priority. Revora escalates the transaction for manual investigation before further recovery.",UNKNOWN,WALLET,0.71,ESCALATE,0,0.0,68.4,ESCALATED,MEDIUM,FAILED,Automated recovery stopped. Transaction escalated for manual review.,18-06-2026 03:01,TX10061
