transaction_id,customer_id,amount,status,failure_reason,attempt_count,previous_success_rate,days_since_last_payment,payment_method,customer_type,timestamp,recovery_status
TX10001,CUST752,20868.6,ABANDONED,UNKNOWN,3,0.96,49,NET_BANKING,RETURNING,29-05-2026 14:38,PENDING
TX10002,CUST933,8874.55,SUCCESS,NONE,3,0.66,49,WALLET,RETURNING,08-04-2026 01:28,NOT_REQUIRED
TX10003,CUST705,26089.83,SUCCESS,NONE,3,0.43,21,CREDIT_CARD,NEW,24-06-2026 23:27,NOT_REQUIRED
TX10004,CUST133,8685.36,SUCCESS,NONE,1,0.82,22,DEBIT_CARD,NEW,08-08-2026 22:37,NOT_REQUIRED
TX10005,CUST843,35243.9,SUCCESS,NONE,1,0.46,35,NET_BANKING,RETURNING,12-04-2026 00:24,NOT_REQUIRED
TX10006,CUST419,9981.21,SUCCESS,NONE,3,0.95,60,UPI,NEW,20-03-2026 05:46,NOT_REQUIRED
TX10007,CUST108,37265.35,SUCCESS,NONE,2,0.53,18,DEBIT_CARD,NEW,12-02-2026 02:14,NOT_REQUIRED
TX10008,CUST977,14739.21,ABANDONED,UNKNOWN,2,0.65,29,CREDIT_CARD,NEW,20-02-2026 02:36,PENDING
TX10009,CUST433,47843.19,SUCCESS,NONE,1,0.58,29,NET_BANKING,NEW,25-04-2026 03:05,NOT_REQUIRED
TX10010,CUST675,31097.74,SUCCESS,NONE,1,0.52,8,UPI,NEW,08-08-2026 11:09,NOT_REQUIRED
TX10011,CUST153,46062.02,FAILED,LIMIT_EXCEEDED,2,0.98,21,NET_BANKING,RETURNING,28-07-2026 23:17,PENDING
TX10012,CUST174,11071.21,FAILED,CARD_EXPIRED,1,0.55,35,NET_BANKING,NEW,08-04-2026 02:37,PENDING
TX10013,CUST712,47084.35,SUCCESS,NONE,2,0.51,7,NET_BANKING,RETURNING,13-05-2026 12:24,NOT_REQUIRED
TX10014,CUST774,1116.45,FAILED,CARD_EXPIRED,2,0.63,32,DEBIT_CARD,RETURNING,31-03-2026 15:14,PENDING
TX10015,CUST558,6427.81,SUCCESS,NONE,1,0.63,42,WALLET,RETURNING,21-07-2026 00:07,NOT_REQUIRED
TX10016,CUST333,2169.78,SUCCESS,NONE,2,0.51,50,NET_BANKING,RETURNING,26-07-2026 18:03,NOT_REQUIRED
TX10017,CUST820,38775.12,FAILED,CARD_EXPIRED,2,0.95,27,CREDIT_CARD,RETURNING,24-03-2026 07:55,PENDING
TX10018,CUST305,4202.42,FAILED,NETWORK_ERROR,2,0.68,25,DEBIT_CARD,RETURNING,25-02-2026 05:26,PENDING
TX10019,CUST891,43578.17,SUCCESS,NONE,3,0.97,54,CREDIT_CARD,NEW,13-06-2026 09:48,NOT_REQUIRED
TX10020,CUST919,31109.3,SUCCESS,NONE,3,0.46,29,WALLET,RETURNING,24-02-2026 01:45,NOT_REQUIRED
TX10021,CUST355,4493.39,FAILED,INSUFFICIENT_FUNDS,2,0.98,47,CREDIT_CARD,NEW,01-04-2026 22:38,PENDING
TX10022,CUST202,32042.34,SUCCESS,NONE,3,0.52,32,NET_BANKING,NEW,02-07-2026 04:48,NOT_REQUIRED
TX10023,CUST383,21683.05,SUCCESS,NONE,2,0.75,33,DEBIT_CARD,NEW,19-07-2026 21:08,NOT_REQUIRED
TX10024,CUST275,38753.94,FAILED,UNKNOWN,3,0.57,58,UPI,NEW,23-05-2026 02:42,PENDING
TX10025,CUST641,848.17,SUCCESS,NONE,1,0.71,43,WALLET,NEW,03-02-2026 08:45,NOT_REQUIRED
TX10026,CUST805,22736.36,SUCCESS,NONE,2,0.65,10,WALLET,NEW,24-04-2026 22:33,NOT_REQUIRED
TX10027,CUST761,6924.38,FAILED,LIMIT_EXCEEDED,3,0.49,23,CREDIT_CARD,NEW,28-02-2026 16:33,PENDING
TX10028,CUST904,49748.67,FAILED,NETWORK_ERROR,1,0.44,27,UPI,RETURNING,08-02-2026 18:22,PENDING
TX10029,CUST646,14416.14,SUCCESS,NONE,3,0.55,22,WALLET,NEW,18-01-2026 07:23,NOT_REQUIRED
TX10030,CUST506,27392.54,SUCCESS,NONE,2,0.95,52,CREDIT_CARD,NEW,02-08-2026 09:09,NOT_REQUIRED
TX10031,CUST384,49118.7,SUCCESS,NONE,3,0.68,42,UPI,RETURNING,16-05-2026 10:07,NOT_REQUIRED
TX10032,CUST215,43896.49,SUCCESS,NONE,3,0.63,26,CREDIT_CARD,RETURNING,07-08-2026 00:58,NOT_REQUIRED
TX10033,CUST940,23102.32,ABANDONED,UNKNOWN,1,0.65,14,CREDIT_CARD,NEW,31-07-2026 13:52,PENDING
TX10034,CUST281,21387.14,SUCCESS,NONE,2,0.62,7,WALLET,RETURNING,11-08-2026 18:24,NOT_REQUIRED
TX10035,CUST477,9011.51,FAILED,BANK_DECLINE,2,0.83,22,DEBIT_CARD,NEW,04-04-2026 14:43,PENDING
TX10036,CUST531,5973.94,ABANDONED,UNKNOWN,3,0.42,17,UPI,NEW,15-05-2026 01:24,PENDING
TX10037,CUST386,16706.96,SUCCESS,NONE,1,0.81,27,CREDIT_CARD,NEW,07-08-2026 19:19,NOT_REQUIRED
TX10038,CUST937,31864.31,SUCCESS,NONE,3,0.84,49,CREDIT_CARD,NEW,23-07-2026 20:07,NOT_REQUIRED
TX10039,CUST734,40816.07,SUCCESS,NONE,2,0.76,36,UPI,NEW,06-03-2026 02:15,NOT_REQUIRED
TX10040,CUST884,14502.87,SUCCESS,NONE,3,0.7,25,DEBIT_CARD,NEW,17-05-2026 06:54,NOT_REQUIRED
TX10041,CUST845,19024.2,SUCCESS,NONE,1,0.64,33,NET_BANKING,NEW,12-04-2026 19:46,NOT_REQUIRED
TX10042,CUST786,47464.38,SUCCESS,NONE,1,0.63,55,NET_BANKING,RETURNING,30-04-2026 19:39,NOT_REQUIRED
TX10043,CUST204,2567.49,FAILED,BANK_DECLINE,2,0.51,58,UPI,RETURNING,22-02-2026 03:42,PENDING
TX10044,CUST215,3135.03,SUCCESS,NONE,3,0.98,27,UPI,NEW,25-07-2026 20:26,NOT_REQUIRED
TX10045,CUST696,18322.29,SUCCESS,NONE,2,0.92,19,UPI,RETURNING,24-06-2026 01:58,NOT_REQUIRED
TX10046,CUST960,555.21,FAILED,UNKNOWN,3,0.84,11,UPI,NEW,05-07-2026 19:41,PENDING
TX10047,CUST634,22668.08,SUCCESS,NONE,2,0.95,38,NET_BANKING,RETURNING,28-01-2026 21:28,NOT_REQUIRED
TX10048,CUST197,38024.69,SUCCESS,NONE,3,0.99,33,CREDIT_CARD,NEW,20-08-2026 14:39,NOT_REQUIRED
TX10049,CUST541,38427.74,SUCCESS,NONE,3,0.47,40,NET_BANKING,RETURNING,07-05-2026 13:35,NOT_REQUIRED
TX10050,CUST985,49012.23,SUCCESS,NONE,2,0.4,53,NET_BANKING,NEW,29-04-2026 07:32,NOT_REQUIRED
TX10051,CUST272,39181.59,SUCCESS,NONE,2,1,43,WALLET,NEW,12-07-2026 01:34,NOT_REQUIRED
TX10052,CUST550,13611.33,FAILED,CARD_EXPIRED,2,0.97,46,UPI,NEW,05-05-2026 12:32,PENDING
TX10053,CUST991,20410.71,SUCCESS,NONE,3,0.72,0,WALLET,NEW,23-05-2026 23:01,NOT_REQUIRED
TX10054,CUST602,14619.67,SUCCESS,NONE,3,0.62,16,CREDIT_CARD,RETURNING,17-05-2026 08:39,NOT_REQUIRED
TX10055,CUST943,5585.04,SUCCESS,NONE,2,0.78,33,DEBIT_CARD,RETURNING,03-07-2026 16:25,NOT_REQUIRED
TX10056,CUST608,45493.38,FAILED,UNKNOWN,1,0.79,55,DEBIT_CARD,RETURNING,16-07-2026 11:00,PENDING
TX10057,CUST270,39229.67,SUCCESS,NONE,2,0.84,18,DEBIT_CARD,RETURNING,02-03-2026 14:32,NOT_REQUIRED
TX10058,CUST854,4773.26,SUCCESS,NONE,3,0.81,2,WALLET,RETURNING,06-05-2026 11:42,NOT_REQUIRED
TX10059,CUST791,4894.04,SUCCESS,NONE,2,0.72,48,CREDIT_CARD,NEW,18-05-2026 04:43,NOT_REQUIRED
TX10060,CUST679,47698.14,SUCCESS,NONE,1,1,50,NET_BANKING,RETURNING,12-05-2026 09:40,NOT_REQUIRED
TX10061,CUST740,12637.5,FAILED,UNKNOWN,1,0.71,35,WALLET,NEW,18-06-2026 03:01,PENDING
TX10062,CUST608,35111.57,SUCCESS,NONE,1,0.85,53,CREDIT_CARD,NEW,24-03-2026 22:17,NOT_REQUIRED
TX10063,CUST294,32049.19,FAILED,BANK_DECLINE,3,0.51,4,UPI,RETURNING,17-08-2026 00:42,PENDING
TX10064,CUST562,28905.14,SUCCESS,NONE,2,0.6,52,DEBIT_CARD,NEW,20-06-2026 03:47,NOT_REQUIRED
TX10065,CUST800,11848.97,SUCCESS,NONE,1,0.64,19,UPI,RETURNING,20-04-2026 17:38,NOT_REQUIRED
TX10066,CUST105,34943.32,FAILED,UNKNOWN,1,0.64,44,CREDIT_CARD,RETURNING,25-01-2026 11:01,PENDING
TX10067,CUST569,4458.71,SUCCESS,NONE,3,0.74,33,NET_BANKING,RETURNING,18-08-2026 11:49,NOT_REQUIRED
TX10068,CUST530,41198.95,FAILED,BANK_DECLINE,1,0.97,25,WALLET,NEW,04-06-2026 14:53,PENDING
TX10069,CUST429,18476.48,SUCCESS,NONE,1,0.5,41,DEBIT_CARD,NEW,31-03-2026 08:51,NOT_REQUIRED
TX10070,CUST307,30992.34,SUCCESS,NONE,2,0.81,34,WALLET,NEW,30-01-2026 01:03,NOT_REQUIRED
